Timestamp,Identifiant (fourni par vos délégués),Filière d'origine,Commentaires,Le volet X de l'enseignement vous a paru [Topologie],Le volet X de l'enseignement vous a paru [Calcul différentiel],Le volet X de l'enseignement vous a paru [Calcul intégral],Le volet X de l'enseignement vous a paru [Probabilités],Commentaires,Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Topologie],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Calcul différentiel],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Calcul intégral],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Probabilités],Commentaires,La cohérence d'ensemble (l'intégration entre les différents volets) vous a semblé satisfaisante [Votre réponse],Commentaires,Vous avez assisté aux cours magistraux [Fréquence],Commentaires,"En général, vous avez apprécié l'exposé ? [Topologie]","En général, vous avez apprécié l'exposé ? [Calcul différentiel]","En général, vous avez apprécié l'exposé ? [Calcul intégral]","En général, vous avez apprécié l'exposé ? [Probabilités]",Commentaires,Les cours magistraux ont contribué efficacement à votre apprentissage [Topologie],Les cours magistraux ont contribué efficacement à votre apprentissage [Calcul différential],Les cours magistraux ont contribué efficacement à votre apprentissage [Calcul intégral],Les cours magistraux ont contribué efficacement à votre apprentissage [Probabilités],Commentaires,Vous êtes satisfait des travaux dirigés [Votre réponse],Commentaires,Vous avez participé aux tutorats [Pour poser des questions ciblées ],Vous avez participé aux tutorats [Comme un cadre d'études (autonome)],Vous avez participé aux tutorats [Pour obtenir du soutien (encadrement renforcé)],Vous avez participé aux tutorats [Pour aller plus loin (hors-programme)],Vous avez participé aux tutorats [Pour faciliter vos révisions à l'approche de l'examen ],Vous avez participé aux tutorats [Autre usage ?],Commentaires,Vous êtes satisfait des tutorats actuels [Votre réponse],Commentaires,Vous préférez des groupes de tutorats aux objectifs plus précis  [Votre réponse],Commentaires,Le projet numérique vous a semblé utile / pertinent / intéressant  [Votre réponse],Les éléments numériques du cours vous semblent utiles / pertinents / intéressants. [Votre réponse],Commentaires,"L'existence d'un volet ""outil pour les mathématiques"" en informatique est positif. [Votre réponse]",Commentaires,Les modalités de l'évaluation du projet numérique sont appropriées [Votre réponse],Commentaires,"Le sujet de l'examen écrit est cohérent avec les cours, TDs et tutorats [Votre réponse]",Commentaires,Vous identifiez clairement les compétences et savoirs que l'examen écrit et le projet numérique permettent de tester [Votre réponse],Commentaires,"Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Pauline Bernard]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Thomas Romary]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Sébastien Boisgérault]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Emilie Chautru]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Delphine Bresch-Pietri]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Samy Blusseau]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Silviu Niculescu]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Jean-Emmanuel Deschaud]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Chloé-Agathe Azencott]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Martin Brossard]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Matthieu Vigne]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Slawomir Pietrasz]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Nicolas Desassis]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Dilshad Suroop]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Luc Rongieras]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Thierry Parmentelat]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Cyril Joly]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Obi-Wan Kenobi]",Commentaires,"La succession de plusieurs intervenants (amphi, TD, projet, etc.) s'est déroulée de façon satisfaisante [Votre réponse]",Commentaires,Les supports de cours vous ont donné satisfaction [Votre réponse],Commentaires,Vous avez utilisé le site web de l'enseignement  [Pour récupérer les fichiers PDF des cours],"Vous avez utilisé le site web de l'enseignement  [Pour des informations complémentaires (errata, documents en préparation, calendrier, ""etc.)]",Commentaires,Vous avez utilisé le forum discourse pour [Les compléments de cours et/ou les mini-exercices],"Vous avez utilisé le forum discourse pour [Vous tenir au courant de l'organisation (tutorats, rendus projets, etc.)]",Vous avez utilisé le forum discourse pour [Poser des questions],Commentaires,Temps total consacré à l'étude du cours (amphi inclus) [Votre réponse],Commentaires,Temps total consacré aux exercices (TDs inclus) [Votre réponse],Commentaires,Temps total consacré au projet numérique [Votre réponse],Commentaires,Examen écrit et révisions [Votre réponse],Commentaires,Commentaires (global),"Globalement, cet enseignement vous a paru [Votre réponse]",Commentaires
2019/11/09 3:11:06 PM GMT+1,32,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt difficile,Plutôt difficile,Par ordre décroissant de difficulté : Différentiel > Intégral > Probas > Topologie,Tout à fait,Plutôt non,Plutôt oui,Plutôt oui,,Plutôt oui,Cohérent mais un peu rapide (cf suite),Presque jamais,Je suis venu en topologie et les 1ers poly de calcul intégral et différentiel,Plutôt oui,Plutôt non,Plutôt non,,Les exposés sont intéressants en soi mais je les trouve peu utiles dans une optique de révisions pour les PALs,Plutôt non,Plutôt non,Plutôt non,,"Je pense qu'il vaudrait mieux qu'on ait à lire le poly avant le cours, puis qu'on traite en cours des exercices types, des points méthodes, peut-être quelques points primordiaux du cours plutôt que de revenir sur le poly pour la totalité de l'amphi",Plutôt oui,"On met vraiment en application le cours et, personnellement, je pense que c'est la meilleure façon d'apprendre en maths. Deux problèmes cependant :
 - on n'en fait globalement qu'une par poly (faute de temps bien entendu), 
 - dans la plupart des PC, le groupe est assez passif car bien que certaines personnes comprennent la correction, une grosse majorité (c'est mon ressenti) n'aurait pas pu trouver seul(e) la solution faute de méthodes de résolution d'exercices.

Je pense que faire un peu de pratique en amphi aiderait grandement à les résoudre.",Parfois,Parfois,Jamais,Jamais,Parfois,,"J'y suis resté une fois en ""étude"" et pour poser quelques questions. Je n'y vais plus car en général je pose 2-3 questions en fin de PC ce qui est suffisant pour que je lève mes doutes",,,Plutôt oui,"Je pense que des groupes par thèmes seraient un très bon format, des groupes de niveau un peu moins (car le niveau est souvent relatif à un thème)",Plutôt oui,Plutôt non,Le projet numérique était intéressant en soi mais plutôt chronophage (surtout parce qu'il fallait le faire en parallèle de l'évaluation Python) et prenait un peu de temps sur les révisions. Les éléments numériques du cours sont utiles mais trop poussés dans les détails à mon sens (notamment pour le poly calcul différentiel II),"Oui, tout à fait","Cependant je trouve que la forme de l'enseignement n'est pas adaptée à l'esprit ""apprentissage sur le tas"" en informatique : les cours consistent essentiellement en un listing de fonctions que nous n'utilisons pas dans l'immédiat pour la plupart et qui seront sans doute oubliées le moment venu...",Plutôt oui,,"Oui, tout à fait.","A titre personnel, je pense que j'avais les outils théoriques nécessaires à la résolution des exercices mais un manque de pratique évident. Pour mes révisions, j'ai regardé tous les TD de tous les polys, mais je ne savais en résoudre environ 1 sur 6, ce qui fait que je me rapportais au corrigé, donc révision moins efficace. Inclure 1 ou 2 exercices plus ""détaillés"" (dans le style de ""Formule de la moyenne"", calcul intégral II, par exemple) permettrait de mieux prendre en main les notions & méthodes",Plutôt oui,,,,Plutôt oui,Tout à fait,,,,,,,,,,,,,,Tout à fait,"Pour M. Boisgérault, les PC sont bien, c'est simplement par rapport au déroulement des amphis où je pense que vous devriez faire des points méthode après des énoncés importants (par exemple, le théorème de la divergence, la caractérisation des compacts à bord C1...)","Oui, tout à fait",,Plutôt oui,"Les poly sont très bien en terme de contenu de cours, mais un bon moyen de les améliorer serait d'inclure des exemples dans le genre de la suite de la proposition page 19 du poly Probabilités II : je trouve les exemples/méthodes très, très éclairants.",Oui,Non,,Jamais,Parfois,Jamais,,environ 18 h,"Je lis le poly à la place d'aller en amphi. Je dirais que j'apprends le cours sur un montant horaire plus long que la durée des amphis, mais sans doute moins de 18h.",environ 24 h,"12h de travail personnel pour la recherche des exos de TD, pour les révisions.",12 h ou plus,"Ça peut sembler long car une fois qu'on a la solution le projet semble plutôt ""simple"", mais ce projet m'a pris beaucoup plus de temps que prévu ! Je dirais au moins 15h",15 h ou plus,3h + les 12h de travail sur les TD évoquées plus haut. ,,Plutôt satisfaisant,"En résumé, je pense qu'il faudrait plus de ""concret"" (exemples, exos) dans les polys et surtout en amphi"
2019/11/09 5:20:49 PM GMT+1,39,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Plutôt difficile,Beaucoup de nouvelles notions à assimiler en peu de temps.,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,Il y a bien des liens entre les différents volets mais comme tout est fait très vite on a pas le temps de bien s'entrainer et de faire des exercices pour maitriser les notions,Régulièrement,,Plutôt non,Plutôt oui,Plutôt non,Plutôt non,,Plutôt non,Plutôt oui,Plutôt non,Plutôt non,"Les cours sont un peu brouillon, il n'y a pas la même organisation qu'en prépa (titres, hypothèses listées clairement, theoremes, applications possible de chaque théorème). C'est souvent une répétition du poly sans ajouter d'informations utiles à une meilleure compréhension. Je trouve que l'amphi n'est pas vraiment utile même si j'essayais d'y aller souvent ","Oui, tout à fait","Les rappels de cours sont très utiles, on met en pratique le cours sur des exercices, on revoit des démonstrations de certains théorème. 
Le problème reste la difficulté des exercices. Il faut souvent avoir des astuces ou inventer des contre-exemples et c'est vraiment très dur à faire sans aider. ",Parfois,Parfois,Jamais,Jamais,Jamais,,,Plutôt oui,,Plutôt oui,Les groupes de niveaux en tutorat sont une bonne idée. ,Plutôt oui,"Non, pas du tout",Très compliqué à comprendre et peu utile pour les exercices et les projets proposés.,Plutôt oui,C'est utile car on a besoin d'être formé sur l'utilisation de git notamment ,Plutôt non,Il faudrait que le projet numérique ait un plus gros coefficient car on y a passé du temps par rapport à l'examen écrit qui est très cours et qui représente qu'en partie le travail personnel de révision fourni,Plutôt oui,Cohérent avec les cours mais pas avec les td. Les td ne sont pas assez guidés (on ne peut pas les faire seul sans regarder la correction). Ce serait bien qu'ils ressemblent plus aux examens écrits. ,Plutôt oui,,,Plutôt non,Plutôt non,,Plutôt oui,Plutôt non,,,,,,,,,,,,,"Sebastien Boisgérault est très intéressant et maîtrise son domaine mais il est un peu trop brouillon dans les explications. 
Samy Blusseau n'est pas très captivant.
Delphine Biesch-Pietri : td très clair, elle arrive à bien nous faire comprendre les choses. Seul défaut, elle fait parfois des erreurs et ne sait pas comment les résoudre. ",Plutôt oui,,"Oui, tout à fait",,Non,Non,,Jamais,Parfois,Jamais,,environ 12 h,"Je serais plutôt sur 15h 
J'ai du passé 3h a faire des fiches sur les cours, après avoir assisté aux amphi ",environ 12 h,,environ 9 h,,environ 9 h,J'ai fait de fiches sur les cours et refais des td ,J'ai passé pas mal de temps à travailler chez moi et j'aurai préféré y consacrer un peu moins de temps. ,Peu satisfaisant,
2019/11/09 5:48:53 PM GMT+1,93,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt difficile,Plutôt difficile,Trop difficile,Plutôt facile,Calcul intégral 3 était vraiment difficile je ne comprenais même pas les définitions,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,C'était peut être trop de traiter 3 sujets en même temps,Presque jamais,,,,,,,,,,,,,,Parfois,Jamais,Parfois,Jamais,Parfois,Jamais,,,,"Oui, tout à fait",Oui c'est mieux de faire des groupes par niveau et par thème,Plutôt oui,Plutôt non,,Plutôt oui,,Plutôt oui,,Plutôt oui,,Plutôt oui,,,,,,,,,,,,,,,,,,,,,Plutôt oui,,"Oui, tout à fait",,Oui,Oui,,Jamais,Souvent,Souvent,,environ 12 h,,environ 18 h,,environ 9 h,,environ 6 h,,"On passe très peu de temps en amphi sur un poly je pense qu'il vaudrait mieux aller moins vite et approfondir chaque poly plutôt que de ne parler que de certaines notions. Il faut plus d'exercices basiques d'application pour aider à comprendre, ou d'exemples dans le poly. J'ai eu du mal à travailler les TD car ils sont trop difficiles et pas assez guidés je ne pouvais jamais les faire toute seule. ",Plutôt satisfaisant,
2019/11/09 6:02:42 PM GMT+1,67,AST Fr. : admis sur titres (France),,Plutôt facile,Plutôt facile,Plutôt difficile,Plutôt facile,,Tout à fait,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,,Presque jamais,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt non,,Pas du tout,Pas du tout,Pas du tout,Pas du tout,,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,Plutôt oui,,Tout à fait,Plutôt oui,,Plutôt oui,,Plutôt non,Des projets pourraient avoir plus de poids dans la note.,"Oui, tout à fait.",,"Oui, tout à fait",,,,,,,,,,,,,,,Tout à fait,Tout à fait,Tout à fait,,Tout à fait,,"Oui, tout à fait",,"Oui, tout à fait",,Oui,Oui,,Jamais,Souvent,Jamais,,3 h ou moins,,environ 12 h,,environ 3 h,,3h,,,Plutôt satisfaisant,
2019/11/09 6:39:44 PM GMT+1,68,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt difficile,Trop difficile,Plutôt difficile,Trop difficile,,Plutôt non,Plutôt oui,Plutôt oui,Plutôt oui,,"Oui, tout à fait",,Régulièrement,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt non,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt non,,Plutôt oui,,Parfois,Jamais,Parfois,Jamais,Parfois,Jamais,,Plutôt oui,,Plutôt non,,Tout à fait,Plutôt oui,,Plutôt oui,,Plutôt non,,Plutôt oui,,Plutôt oui,,,,,,,,,,,,,,,,,,,,,Plutôt oui,,Plutôt oui,,Non,Non,,Jamais,Jamais,Jamais,,environ 18 h,,environ 18 h,,environ 9 h,,environ 9 h,,,Peu satisfaisant,
2019/11/09 6:45:42 PM GMT+1,51,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Plutôt facile,,Plutôt oui,Plutôt oui,Tout à fait,Plutôt oui,,Plutôt oui,,Assez souvent,,Plutôt non,Plutôt oui,Plutôt oui,"Non, pas du tout",,Plutôt non,Plutôt non,Plutôt non,Pas du tout,,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Parfois,Jamais,,Plutôt oui,,Plutôt oui,,Plutôt oui,Plutôt oui,,Plutôt oui,,Plutôt non,,Plutôt oui,,Plutôt oui,,,Plutôt non,Plutôt oui,Tout à fait,,,,,,,,,,,,Plutôt non,,Tout à fait,,Plutôt oui,,Plutôt oui,,Non,Non,,Jamais,Parfois,Jamais,,environ 12 h,,environ 12 h,,environ 6h,,3h,,Difficile de savoir ce qui nous attend aux partiels.,Peu satisfaisant,"Cours intéressant, mais je ne porte pas d'intérêt particulier pour les maths.
Je trouve que les maths étudiées sont assez différentes que celles de prépa (j'étais en PSI*) au sens où elles sont moins appliquées : peut-être vaudrait-il mieux mettre quelques exercices d'applications encore plus ""triviaux"" avec par exemple une dizaine de fonctions à différencier (pour que le principe soit plus vite compris)."
2019/11/09 7:23:13 PM GMT+1,84,PT/PT* : classe préparatoire Physique-Technologie,"Il y a beaucoup de notions que je n'avais pas encore vu car elles n'étaient pas au programme de PT*. 
Je pense que des groupes de niveau pour les PC seraient une vraie solution. 
Le problème est que, ne comprenant ni les amphis ni les PC (ou avec beaucoup de mal), je me retrouve dans une impasse. ",Trop difficile,Trop difficile,Trop difficile,Plutôt facile,"Pour le calcul différentiel / topologie / calcul intégral, une remise à niveau m'aurait vraiment été profitable. 
Les exercices du cours étaient trop difficiles pour que je les comprenne.
Même maintenant, il me manque les notions de base. ",Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,,Régulièrement,"Si l'on ne connaît pas les notions de base, il est impossible de comprendre les cours magistraux. 
J'aurais préféré que cela aille plus lentement, mais comprendre les notions exposées. (aller aux cours magistraux ne m'a presque pas servi) 
Peut être qu'un ou plusieurs cours magistraux de remise à niveau auraient permis aux anciens MP de ne pas s'ennuyer pendant les amphi, sans que les autres ne soient complètement perdus.",Plutôt non,Plutôt non,Plutôt non,Plutôt oui,"En probabilités, l'exposé était réalisé plus lentement. ",Pas du tout,Pas du tout,Pas du tout,Plutôt oui,,Plutôt non,"Les exercices sont trop difficiles. Il faudrait des exercices faciles / accessibles également,  de simple application du cours.",Souvent,Parfois,Tout le temps,Jamais,Parfois,,"C'est dommage qu'on reprenne les bases après coup, dans les seances de soutien. 
Ces séances seraient plus profitables avant les cours magistraux.",Plutôt non,,"Oui, tout à fait",Pour des groupes de niveau ,Tout à fait,"Oui, tout à fait",,Plutôt oui,,"Oui, tout à fait",,"Oui, tout à fait.","Le sujet de l'examen ecrit etait adapté au niveau des exercices réalisés pendant les PC. 
Le problème est qu'il m'était très difficile de comprendre ces exercices, comme il n'y avait pas d'exercices intermédiaires. ",Plutôt oui,,Tout à fait,,Plutôt non,,,,,,,,,,,,,,,,"Pauline Bernard est très à l'écoute, et adapte ses réponses aux élèves. 
Pendant les cours magistraux, Sébastien Boisgérault expose les théorèmes trop vite, sans les ancrer avec des exemples précis faciles à comprendre.","Oui, tout à fait",,"Oui, tout à fait",,Non,Non,,Jamais,Souvent,Jamais,,environ 12 h,,environ 24 h,,12 h ou plus,,environ 9 h,,"Plus de temps m'aurait paru nécessaire en amont, pour une remise à niveau.",Peu satisfaisant,
2019/11/09 7:38:39 PM GMT+1,118,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,"Comme il existe une différence au niveau du programme pour les différentes filières, j'ai quelquefois eu des difficultés à suivre en cours du fait de l'utilisation par le professeur de certaines notions vu en MP.",Plutôt difficile,Plutôt difficile,Plutôt difficile,Plutôt facile,"En ce qui concerne le volet Calcul Différentiel, j'ai quelquefois éprouvé des difficultés à savoir si le symbole ""."" correspondait à une multiplication ou à une division.",Plutôt oui,Plutôt oui,Plutôt oui,Tout à fait,,Plutôt oui,,Régulièrement,,"Oui, beaucoup","Oui, beaucoup","Oui, beaucoup",Plutôt oui,"En ce qui concerne les probabilités, je me suis un peu ennuyé lors de l'amphi Probas 1, probablement parce que pour moi, il s'agissait de rappels. Je comprends cependant que comme toutes les filières n'ont pas eu le même programme, il soit parfois nécessaire de faire ce type de cours.",Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,"Oui, tout à fait",Je trouve que les travaux dirigés permettent de comprendre plus facilement le cours et de revenir sur certains points plus complexes,Parfois,Souvent,Tout le temps,Jamais,Souvent,,,"Oui, beaucoup",Je tiens à signaler que le système de soutien m'a permis de progresser de manière efficace. Je regrette qu'il n'ait pas été mis en place plus tôt.,Plutôt oui,Je souhaiterai que soit mis en place un système de groupe de niveau quitte à ce qu'il soit étendu aux séances de TD (car cela éviterait que les élèves les plus à l'aise s'ennuie tandis que ceux ayant plus de difficultés se sentent perdus) ,Plutôt oui,Plutôt oui,,"Oui, tout à fait",,Plutôt non,"Je trouve que le ratio entre le temps investi pour le projet et sa valeur dans la notation finale n'est pas très favorable. En effet, même si j'ai rapidement compris les bases mathématiques nécessaire pour construire l'algorithme, le codage et le débuggage du programme prend beaucoup de temps ",Plutôt oui,,Plutôt non,,,,,,,,Plutôt oui,,,,,,,,,,,Tout à fait,,Plutôt oui,,Plutôt oui,,Non,Oui,,Souvent,Tout le temps,Jamais,,24 h ou plus,,environ 24 h,"Je dois reconnaître que je n'ai pas pu aller à toutes les séances de tutorat et que je n'ai probablement pas assez préparés mes exos, ayant parfois eu du mal à comprendre certaines notion du cours",12 h ou plus,"A posteriori, je pense que j'ai passé trop de temps sur le projet au détriment de l'apprentissage de mon cours et de la préparation des exos",environ 12 h,,"J'ai quelquefois eu des difficultés à trouver du temps pour cet enseignement sans pénaliser les autres matières, en raison notamment d'un grand ombre de conférences auxquels j'ai assisté (présentation d'entreprises, formation JuMP)",Plutôt satisfaisant,
2019/11/09 7:51:14 PM GMT+1,15,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt facile,Plutôt facile,Trop facile,,Tout à fait,Tout à fait,Tout à fait,Tout à fait,,"Oui, tout à fait",,Régulièrement,,"Oui, beaucoup","Oui, beaucoup","Oui, beaucoup",Plutôt oui,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,"Oui, tout à fait",,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,Plutôt oui,,"Oui, tout à fait",,Plutôt oui,Plutôt oui,,Plutôt oui,,Plutôt oui,,"Oui, tout à fait.",,"Oui, tout à fait",,,,,,,,,,,,,,,,,,,,,"Oui, tout à fait",,Plutôt oui,,Oui,Non,,Parfois,Parfois,Parfois,,environ 12 h,,environ 18 h,,environ 3 h,,environ 9 h,,,Plutôt satisfaisant,
2019/11/09 7:54:18 PM GMT+1,47,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt difficile,Trop difficile,Plutôt difficile,Plutôt difficile,,Plutôt oui,Plutôt oui,Tout à fait,Plutôt oui,,Plutôt oui,,Régulièrement,,Plutôt oui,Plutôt oui,Plutôt non,Plutôt non,,Plutôt oui,Plutôt non,Plutôt non,Pas du tout,,"Oui, tout à fait",,Parfois,Parfois,Parfois,Jamais,Jamais,Jamais,,Plutôt oui,,Plutôt oui,,Plutôt oui,Plutôt non,,Plutôt non,,Plutôt oui,,"Oui, tout à fait.",,Plutôt oui,,,,Plutôt oui,,Tout à fait,Tout à fait,,,,,,,,,,,,,"En ce qui concerne Sébastien Boisgérault pour les cours en amphi, j'aimerais que l'on traite une plus grande partie du poly quitte à moins approfondir chaque notion, afin que nous puissions s'assurer de bien comprendre chaque définition ou énoncé. ",Plutôt oui,,"Oui, tout à fait",,Non,Non,,Parfois,Souvent,Jamais,,environ 18 h,,environ 18 h,,environ 9 h,,environ 6 h,,,Plutôt satisfaisant,
2019/11/09 8:06:24 PM GMT+1,88,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Trop difficile,Plutôt difficile,Plutôt facile,Les exercices que nous n’avons pas fait en TD m’ont semblé bien plus durs que ceux traités en cours,Plutôt non,Plutôt oui,Plutôt oui,Plutôt oui,,"Oui, tout à fait",,Assez souvent,"Je ne vais plus en cours car on ne traite jamais le poly en entier, et comme ils sont très détaillés il est possible de les travailler par soi même ",Plutôt non,"Non, pas du tout",Plutôt oui,"Oui, beaucoup",,Plutôt oui,Pas du tout,Plutôt non,Plutôt non,,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Jamais,,Je pense commencer à y aller régulièrement pour avoir un créneau de travail dans la semaine,Plutôt oui,"Je trouve dommage que l’on ne traite souvent que quelques exercices, et parmi les plus simples, ce qui nous laisse faire le plus dur seuls","Non, pas du tout",,Tout à fait,Plutôt oui,J’ai bien aimé le fait d’avoir un projet (ce qui changeait un peu de ce dont on a l’habitude en maths) et j’ai bien aimé le fait que cela soit mixé avec de l’informatique ,Plutôt non,,Plutôt non,"J’ai trouvé ce projet très intéressant et déjà plus proche de ce que l’on fera dans nos emplois plus tard, je trouve qu’il gagnerait à être plus représenté en terme de note",Plutôt oui,,"Non, pas du tout",,Tout à fait,Tout à fait,Plutôt oui,,,,,,,,,,,,,,,,,,J’ai un peu de mal à suivre les cours de M. Boisgerault car il ne suit pas linéairement le poly et je trouve que ça affecte un peu la compréhension (mais c’est une remarque minime !!),Plutôt oui,"Les poly sont bien faits mais peut être trop dense, on ne sait pas ce qui est important ",Non,,,Jamais,Souvent,Parfois,,environ 6 h,Je compte passer plus de temps dans les mois à venir ,environ 12 h,,environ 9 h,J’ai passé beaucoup de temps sur ce projet et j’ai été déçue de ne pas aboutir ,environ 6 h,"J’ai découvert un peu tard que nous avions des partiels début novembre, je n’ai pas pu bien m’y préparer...","J’ai eu du mal à trouver le temps pour travailler autant qu’il l’aurait fallu, la vie étudiante aux mines étant très intense les deux premiers mois",Plutôt satisfaisant,
2019/11/09 8:53:05 PM GMT+1,96,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt facile,Plutôt difficile,Plutôt difficile,Plutôt difficile,,Plutôt oui,Plutôt oui,Plutôt oui,Tout à fait,"La Topo a été utile dans le sens ou elle est nécessaire à la compréhension des chapitres sur le calcul diff et les intégrales, qui eux me semblent nécessaires pour mon métier futur.",Plutôt oui,Le chapitre intégrales prépare bien le chapitre proba,Régulièrement,Tout le temps,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Tout à fait,Tout à fait,Plutôt non,Plutôt non,,Plutôt oui,"ça dépend. Le TD de proba 1 était vraiment peu satisfaisant, alors que le TD de proba 2 m'a apporté les clés de compréhension du chapitre de façon très satisfaisante. Les TD de calcul diff étaient peu satisfaisants, mais ceux de calcul intégral très satisfaisant.",Parfois,Jamais,Parfois,Jamais,Jamais,,,Plutôt oui,,"Oui, tout à fait",,Plutôt oui,Plutôt oui,"Les éléments du cours ne m'intéressent pas forcément (je suis pas très informatique), mais ils sont en revanche tout à fait pertinents en cela qu'ils illustrent l'utilité des théorèmes abordés.","Oui, tout à fait","L'existence est positive. Je n'en suis malheureusement que peu satisfait, dû à une masse trop importante de connaissances présentées en un temps trop court.","Non, pas du tout","24h de travail cumulé pour 1/16 de la note, ce n'est absolument pas rentable.",Plutôt oui,"Même si je n'ai pas pu aborder tout l'examen, je ne me suis jamais retrouvé face à une difficulté auquel le cour n'aurait pas pu répondre.",Plutôt oui,,Tout à fait,Tout à fait,,,,,,,,,,,,,,Tout à fait,,Tout à fait,"

Critère commun:  C'est bien d'avoir un prof patient qui sait prendre du temps pour nous aider à comprendre le cours en TD afin que l'on puisse profiter au maximum dudit TD.",Plutôt oui,,Plutôt oui,,Non,Non,j'ai utilisé le discourse en priorité pour les informations complémentaires.,Parfois,Tout le temps,Jamais,,24 h ou plus,,environ 24 h,,12 h ou plus,24 heures en combiné.,environ 12 h,,"Pour moi, la situation me semble être la suivante: on a réduit le temps de cours et de TD, mais on a gardé le même programme. Pour moi, ça n'est que peu tenable: je fait partie de ces emmerdeu... élèves qui ont du mal à bosser un poly et qui ont besoin d'un prof et de cours magistraux. Je pense que l'enseignement est satisfaisant globalement, mais qu'il n'y a pas assez de temps d'enseignement.",Plutôt satisfaisant,Courage !
2019/11/09 9:17:29 PM GMT+1,87,AST Etr. : admis sur titres (Etranger),,Plutôt difficile,Plutôt difficile,Plutôt facile,Plutôt facile,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,,Assez souvent,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt non,,Parfois,Souvent,Parfois,Souvent,Souvent,,,Plutôt oui,,Plutôt oui,,Plutôt non,Plutôt oui,,Plutôt oui,,Plutôt non,,Plutôt non,,Plutôt oui,,,Plutôt oui,,,,,,,,,,,,,,,,,,Plutôt oui,,Plutôt non,,Oui,Oui,,Parfois,Jamais,Jamais,,environ 18 h,,environ 12 h,,12 h ou plus,,15 h ou plus,"Je trouve que même si je connais bien le contenu des polycopiés, je ne sais pas comment les utiliser pour répondre aux questions dans l’examen. ",,Plutôt satisfaisant,
